texto,classe
"Hospital de campanha comeįa a funcionar em Caxias do Sul: Unidade será usada para pacientes sem sintomas graves. Postos de saúde do Rio Grande do Sul ficam aberto até as 22h.",alegria
"Estudo indica que chimpanzés são capazes de apreciar música: Pesquisa com filhote revelou que animal prefere ouvir música harmoniosa.",alegria
"STF nega aįão que pedia a revogaįão de artigos da Lei de Falęncias: PDT questionava limite para crédito trabalhista e isenįão ao comprador. Lei isenta o novo dono de obrigaįões trabalhistas sobre a empresa falida.",alegria
"Exército chinęs faz demonstraįão de habilidades em Pequim: Grupo comemora neste sábado seu 82ē aniversário. Demonstraįão envolveu golpes e armas.",alegria
"Zoolķgico alemão apresenta tigresas quadrigęmeas ao público: Mãe deu ā luz bebęs sem ajuda de veterinários, afirma parque. Felinas já tęm pouco mais de um męs de vida.",alegria
"Perto da concordata, GM já é chamada de 'Governo Motors': Plano do Tesouro dos EUA prevę controle de 70% da montadora. Governo planeja injetar mais US$ 50 bilhões para viabilizar a empresa.",alegria
"Prefeito de Londres é 'apresentado' ā sua estátua de cera: Boris Johnson ganhou 'sķsia' no museu Madame Tussauds londrino. Ele é o 1ē político britânico a ter a honraria em quase uma década.",alegria
"China vira principal comprador dos produtos brasileiros: Em marįo, país desbancou EUA como principal destino de exportaįões. Com crise, governo chinęs injeta quase US$ 600 bilhões na economia.",alegria
"Bancos lideram lista das marcas mais valiosas do país, diz consultoria: BrandAnalytics divulgou nova lista com números relativos a 2008. Bradesco, Itaú e Banco do Brasil aparecem nas tręs primeiras posiįões.",alegria
"Trégua na Faixa de Gaza entra em vigor ās 17h, diz Egito. A chancelaria do Egito anunciou na tarde desta quarta-feira que um cessar-fogo entre Israel e o movimento Hamas, que controla a Faixa de Gaza, entrará em vigor ās 17h desta quarta-feira (hora de Brasília; 19h, no horário internacional).",alegria
"Panda gigante surpreende e dá ā luz em zoolķgico na Tailândia: Lin Hui foi inseminada artificialmente, mas não dava sinais de gravidez. Pequeno panda terá de ser devolvido ā China quando completar dois anos.",alegria
"Pesquisadora mostra em SP que células-tronco podem atenuar as rugas: Segundo pesquisa, célula-tronco do prķprio paciente rejuvenesce a pele. Efeito lembra o da toxina botulínica, mas sem paralisaįão muscular.",alegria
"Rainha Elizabeth se torna bisavķ, de uma menina. A rainha Elizabeth, de 84 anos, se tornou bisavķ pela primeira vez. Nesta quinta-feira, o Palácio de Buckingham anunciou o nascimento da filha de seu neto Peter Phillips com a mulher, a canadense Autumn Phillips.",alegria
"Foto da vitķria de Obama é a mais curtida da histķria do Facebook. A foto que mostra Michelle e Barack Obama se abraįando depois do resultado das eleiįões presidenciais foi curtida por mais de 3 milhões de pessoas e compartilhada mais de 450 mil vezes.",alegria
"EUA terão vacina contra H1N1 no segundo semestre, diz autoridade: Governo está preparando vacinas para gripe antiga e a nova. Expectativa é tę-las a tempo de fazer a vacinaįão conjunta.",alegria
"Suécia celebra primeiros casamentos entre homossexuais: Parlamento aprovou a união no último 1 de abril. Permissão passou a valer a partir dessa sexta-feira (1).",alegria
"Estatueta de 'gordinha sexy' é mais antiga escultura do mundo, com 40 mil anos: Objeto que mede apenas 6 cm vem de caverna no sudoeste da Alemanha. Figura de marfim de mamute pode ter servido como amuleto de fertilidade.",alegria
"Definiįão sobre candidatura de Ciro ao governo de SP pode sair até męs que vem: PSB quer definir situaįão eleitoral nos estados até o final de agosto. Segundo cúpula do partido, pesquisas animam Ciro Gomes e o PSB.",alegria
"Imagem da Nasa mostra ônibus espacial como 'mosquinha' sobre o Sol: Cena impressionante foi obtida durante viagem da nave para o Hubble. Astronautas tęm missão de 11 dias de duraįão para reparar telescķpio.",alegria
"Brasileiros estão entre bancos com maior rentabilidade das Américas, diz pesquisa: Aįões de bancos brasileiros tiveram alta em 2009. Instituiįões financeiras menores tiveram melhor rentabilidade.",alegria
"Kassab e Marta participam da Parada Gay em São Paulo: Prefeito posou para fotos com participantes do evento. Ex-prefeita desfilou em trio elétrico pela avenida Paulista.",alegria
"Astronautas concluem 5Ē caminhada espacial da missão da Endeavour: Trabalho externo durou 5 horas, 1h30 mais breve que o previsto. Endeavour deve se desacoplar da ISS nesta terįa ās 14h26.",alegria
"Governo quer estender emissão de extrato do INSS a todos os bancos: Para que isso ocorra, projeto de lei será enviado ao Congresso. Pela legislaįão atual, apenas BB e Caixa podem oferecer o serviįo.",alegria
"Lula descarta reduzir ritmo de obras no São Francisco devido ā crise: Presidente disse que foi criado 'turno adicional' para gerar empregos. Ele também edisse que governo está aumentando investimento no PAC.",alegria
"Carlinhos Brown e Guilherme Arantes cantam para 'namorados' na Bahia: Apresentaįão aconteceu na Costa do Sauípe nesta sexta-feira. Brown surpreendeu com músicas românticas na madrugada de sábado.",alegria
"Governador do DF nomeia novo comandante para PM: Cúpula da polícia foi exonerada apķs denúncias de desvio de dinheiro. PM teria pago concessionária por serviįos não prestados.",alegria
"Primeira comemoraįão de Obama foi através de redes sociais. No Facebook, imagem da vitķria foi curtida por mais de 2,6 milhões de pessoas.",alegria
"Lucro da Colgate-Palmolive aumenta 13,7% no trimestre: Empresa teve lucro líquido de US$ 561,6 milhões no período. Vendas mundiais caíram 5,5%, para US$ 3,745 bilhões.",alegria
"Cientistas descobrem espécie rara de pássaro careca: Búlbulo de Cara Pelada foi localizado no Laos. É o 1ē achado de ave canora registrado na Ásia em um século.",alegria
"EUA lanįam projeto para incentivar a venda de veículos: Presidente Barack Obama e legisladores chegaram a um acordo. Consumidores vão receber bônus para trocar carro velho por novo.",alegria
"BID dará empréstimo de US$ 3 bilhões ao México por gripe e crise: Os empréstimos para 2009 são quase triplo do valor oferecido em 2008. Objetivo é amenizar os impactos da gripe e da crise econômica.",alegria
"Irã liberta 140 oposicionistas detidos apķs eleiįões: Eles foram presos durante protestos contra reeleiįão do presidente.",alegria
"ONG transforma lixo em instrumentos musicais em Betim: Quarenta crianįas carentes participam de projeto de reciclagem. Em Belo Horizonte, instrutores também realizam oficinas em escolas.",alegria
"Apple negocia compra do Twitter, diz imprensa norte-americana: Acordo pode ser anunciado em junho, segundo sites especializados. Empresa teria oferecido US$ 700 milhões, superando oferta do Facebook.",alegria
"Brasil vai inaugurar na África fábrica de remédio para tratamento da Aids. A Fundaįão Oswaldo Cruz (Fiocruz) vai inaugurar, na semana que vem (dia 21) uma fábrica de medicamentos antirretrovirais para o tratamento da Aids no Continente Africano.",alegria
